     1,   5.090,     28895  
     2,   5.093,     27076  
     3,   5.096,     26158  
     4,   5.099,     27097  
     5,   5.103,     28226  
     6,   5.106,     27361  
     7,   5.109,     24516  
     8,   5.112,     23296  
     9,   5.115,     22580  
    10,   5.118,     22763  
    11,   5.122,     23922  
    12,   5.125,     22589  
    13,   5.128,     21020  
    14,   5.131,     20460  
    15,   5.134,     22956  
    16,   5.137,     20727  
    17,   5.141,     20550  
    18,   5.144,     20343  
    19,   5.147,     18496  
    20,   5.150,     20574  
    21,   5.153,     20302  
    22,   5.157,     20834  
    23,   5.160,     17493  
    24,   5.163,     19912  
    25,   5.166,     18622  
    26,   5.169,     18507  
    27,   5.172,     15687  
    28,   5.176,     16861  
    29,   5.179,     19429  
    30,   5.182,     17253  
    31,   5.185,     14872  
    32,   5.188,     16202  
    33,   5.191,     15454  
    34,   5.195,     14411  
    35,   5.198,     15216  
    36,   5.201,     13398  
    37,   5.204,     15725  
    38,   5.207,     14552  
    39,   5.210,     14128  
    40,   5.214,     12831  
    41,   5.217,     12851  
    42,   5.220,     16417  
    43,   5.223,     15261  
    44,   5.226,     14765  
    45,   5.229,     13159  
    46,   5.233,     11820  
    47,   5.236,     12939  
    48,   5.239,     13063  
    49,   5.242,     12516  
    50,   5.245,     14075  
    51,   5.249,     12107  
    52,   5.252,     12532  
    53,   5.255,     12140  
    54,   5.258,     12656  
    55,   5.261,     10332  
    56,   5.264,     12156  
    57,   5.268,     13084  
    58,   5.271,     12661  
    59,   5.274,     10931  
    60,   5.277,     10414  
    61,   5.280,     10466  
    62,   5.283,     11476  
    63,   5.287,     11622  
    64,   5.290,     11290  
    65,   5.293,     10551  
    66,   5.296,     10283  
    67,   5.299,     11262  
    68,   5.302,     10984  
    69,   5.306,     10994  
    70,   5.309,     10945  
    71,   5.312,     11286  
    72,   5.315,     11179  
    73,   5.318,     10657  
    74,   5.321,     11214  
    75,   5.325,     11046  
    76,   5.328,     12339  
    77,   5.331,     11218  
    78,   5.334,     10222  
    79,   5.337,     11427  
    80,   5.341,      9679  
    81,   5.344,     10820  
    82,   5.347,     11976  
    83,   5.350,     11618  
    84,   5.353,     10276  
    85,   5.356,      9690  
    86,   5.360,     10137  
    87,   5.363,     11023  
    88,   5.366,     10596  
    89,   5.369,      9830  
    90,   5.372,      9671  
    91,   5.375,     12057  
    92,   5.379,     10298  
    93,   5.382,      9615  
    94,   5.385,     10502  
    95,   5.388,      9571  
    96,   5.391,     10558  
    97,   5.394,      9804  
    98,   5.398,      9274  
    99,   5.401,      9785  
   100,   5.404,     10821  
   101,   5.407,     10547  
   102,   5.410,      9554  
   103,   5.414,     10883  
   104,   5.417,     10150  
   105,   5.420,     11122  
   106,   5.423,     10040  
   107,   5.426,     11709  
   108,   5.429,     11362  
   109,   5.433,     11333  
   110,   5.436,     12857  
   111,   5.439,     14246  
   112,   5.442,     11992  
   113,   5.445,     12511  
   114,   5.448,     11173  
   115,   5.452,     13019  
   116,   5.455,     14038  
   117,   5.458,     12875  
   118,   5.461,     12202  
   119,   5.464,     13600  
   120,   5.467,     12617  
   121,   5.471,     11933  
   122,   5.474,     10450  
   123,   5.477,     10461  
   124,   5.480,     11074  
   125,   5.483,     10621  
   126,   5.486,     10503  
   127,   5.490,     11030  
   128,   5.493,     10434  
   129,   5.496,     10220  
   130,   5.499,     10507  
   131,   5.502,     10792  
   132,   5.506,      9769  
   133,   5.509,      9402  
   134,   5.512,     10817  
   135,   5.515,     11372  
   136,   5.518,      9951  
   137,   5.521,     10135  
   138,   5.525,      8944  
   139,   5.528,     10530  
   140,   5.531,      9890  
   141,   5.534,      9877  
   142,   5.537,      9868  
   143,   5.540,     10655  
   144,   5.544,     10238  
   145,   5.547,      9830  
   146,   5.550,      9001  
   147,   5.553,     10606  
   148,   5.556,     10318  
   149,   5.559,      9856  
   150,   5.563,      9333  
   151,   5.566,     10138  
   152,   5.569,     11204  
   153,   5.572,     10087  
   154,   5.575,     11129  
   155,   5.578,      9938  
   156,   5.582,      9465  
   157,   5.585,      9421  
   158,   5.588,      9908  
   159,   5.591,      9826  
   160,   5.594,      9381  
   161,   5.598,      9234  
   162,   5.601,     10304  
   163,   5.604,      9974  
   164,   5.607,      9058  
   165,   5.610,      9735  
   166,   5.613,      8682  
   167,   5.617,      9648  
   168,   5.620,      9498  
   169,   5.623,     11233  
   170,   5.626,      9446  
   171,   5.629,     10812  
   172,   5.632,     10040  
   173,   5.636,      9806  
   174,   5.639,      9757  
   175,   5.642,     10251  
   176,   5.645,      9451  
   177,   5.648,      9199  
   178,   5.651,      9875  
   179,   5.655,      8587  
   180,   5.658,      9982  
   181,   5.661,      8927  
   182,   5.664,      8467  
   183,   5.667,      8806  
   184,   5.670,      8738  
   185,   5.674,      9626  
   186,   5.677,     10263  
   187,   5.680,      9488  
   188,   5.683,      8914  
   189,   5.686,      9249  
   190,   5.690,      8850  
   191,   5.693,     10980  
   192,   5.696,      9332  
   193,   5.699,     10097  
   194,   5.702,      9031  
   195,   5.705,      8706  
   196,   5.709,      8793  
   197,   5.712,      9666  
   198,   5.715,      9459  
   199,   5.718,      9439  
   200,   5.721,      9170  
   201,   5.724,      9971  
   202,   5.728,     10459  
   203,   5.731,      9487  
   204,   5.734,      9414  
   205,   5.737,      8847  
   206,   5.740,      9371  
   207,   5.743,      9830  
   208,   5.747,     10476  
   209,   5.750,     10044  
   210,   5.753,      9443  
   211,   5.756,      8875  
   212,   5.759,     10834  
   213,   5.762,     10007  
   214,   5.766,      9699  
   215,   5.769,      9105  
   216,   5.772,     10420  
   217,   5.775,      9025  
   218,   5.778,     10011  
   219,   5.782,      8765  
   220,   5.785,      9401  
   221,   5.788,      9763  
   222,   5.791,      9050  
   223,   5.794,      8833  
   224,   5.797,     10393  
   225,   5.801,     10445  
   226,   5.804,      9794  
   227,   5.807,      9323  
   228,   5.810,      9464  
   229,   5.813,      9932  
   230,   5.816,      9821  
   231,   5.820,      8743  
   232,   5.823,      8583  
   233,   5.826,      9760  
   234,   5.829,      8872  
   235,   5.832,      9445  
   236,   5.835,      8133  
   237,   5.839,      9818  
   238,   5.842,      8612  
   239,   5.845,      9078  
   240,   5.848,      8945  
   241,   5.851,      9151  
   242,   5.854,      8964  
   243,   5.858,      9130  
   244,   5.861,      9038  
   245,   5.864,      9422  
   246,   5.867,     10093  
   247,   5.870,      8809  
   248,   5.874,      9495  
   249,   5.877,     10021  
   250,   5.880,     10003  
   251,   5.883,      9636  
   252,   5.886,      8824  
   253,   5.889,      8268  
   254,   5.893,     10237  
   255,   5.896,      9630  
   256,   5.899,      8982  
   257,   5.902,     10057  
   258,   5.905,      9911  
   259,   5.908,      9119  
   260,   5.912,      9836  
   261,   5.915,      9616  
   262,   5.918,      9223  
   263,   5.921,      9804  
   264,   5.924,      9745  
   265,   5.927,      9483  
   266,   5.931,      9035  
   267,   5.934,     10035  
   268,   5.937,      9846  
   269,   5.940,      9246  
   270,   5.943,      9968  
   271,   5.947,      9882  
   272,   5.950,      9592  
   273,   5.953,      9915  
   274,   5.956,      9512  
   275,   5.959,      9592  
   276,   5.962,      8907  
   277,   5.966,      9073  
   278,   5.969,      9748  
   279,   5.972,      9352  
   280,   5.975,      8362  
   281,   5.978,      9247  
   282,   5.981,      9579  
   283,   5.985,      9227  
   284,   5.988,      9021  
   285,   5.991,      9837  
   286,   5.994,      8625  
   287,   5.997,      8657  
   288,   6.000,      9318  
   289,   6.004,      9643  
   290,   6.007,      8763  
   291,   6.010,      9573  
   292,   6.013,      9447  
   293,   6.016,      9939  
   294,   6.019,      8902  
   295,   6.023,      8543  
   296,   6.026,      8376  
   297,   6.029,      8607  
   298,   6.032,      9350  
   299,   6.035,      9047  
   300,   6.039,      9203  
